method,r@1,r@5,r@10,ndcg@1,ndcg@5,ndcg@10,count
L32_normpre_r70_trad,18.9505,38.0009,47.3946,0.392139,0.405228,0.428495,14514
L32_normpre_r70_weighted,19.149,38.2864,47.9549,0.39641,0.408944,0.433313,14514
L32_normpre_r80_trad,19.0539,38.1577,47.6849,0.395446,0.406846,0.430814,14514
L32_normpre_r80_weighted,19.111,38.2639,47.9441,0.395549,0.408542,0.432889,14514
L32_normpre_r90_trad,19.0298,38.2001,47.792,0.394516,0.407034,0.431078,14514
L32_normpre_r90_weighted,19.106,38.206,47.9066,0.396341,0.40821,0.432659,14514
L32_normpost_r10_trad,10.45,24.288,31.6988,0.227642,0.251044,0.271181,14514
L32_normpost_r10_weighted,11.5945,26.116,34.0103,0.251206,0.272799,0.294303,14514
L32_normpost_r20_trad,15.7196,32.626,41.4636,0.331232,0.345781,0.368891,14514
L32_normpost_r20_weighted,17.1092,34.9717,44.3116,0.358619,0.372106,0.395924,14514
L32_normpost_r30_trad,17.5744,35.6528,44.8722,0.366853,0.379139,0.402809,14514
L32_normpost_r30_weighted,18.5088,37.1947,46.7706,0.384491,0.396587,0.42111,14514
L32_normpost_r40_trad,18.3082,36.6355,45.9367,0.380357,0.391116,0.414666,14514
L32_normpost_r40_weighted,19.0279,37.8916,47.4141,0.393586,0.405062,0.428991,14514
L32_normpost_r50_trad,18.5701,37.3021,46.7904,0.385524,0.397323,0.421472,14514
L32_normpost_r50_weighted,19.106,38.2119,47.8755,0.39517,0.407797,0.432058,14514
L32_normpost_r60_trad,18.8626,37.8312,47.2157,0.389314,0.402503,0.42603,14514
L32_normpost_r60_weighted,19.1199,38.2815,47.967,0.396031,0.408853,0.432948,14514
L32_normpost_r70_trad,18.9402,37.9946,47.4058,0.391863,0.405118,0.428438,14514
L32_normpost_r70_weighted,19.1734,38.3129,48.0244,0.39703,0.409351,0.433885,14514
L32_normpost_r80_trad,19.0497,38.1507,47.6886,0.395308,0.406764,0.430791,14514
L32_normpost_r80_weighted,19.132,38.2839,47.9864,0.396307,0.408817,0.433236,14514
L32_normpost_r90_trad,19.0298,38.1997,47.7903,0.394516,0.407024,0.431069,14514
L32_normpost_r90_weighted,19.1129,38.2231,47.898,0.396514,0.40837,0.432716,14514
